City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,camacha,33.0833,-16.3333,15.68,67,20,3.6,PT,1681339841
279,baraboo,43.4711,-89.7443,30.19,26,0,5.14,US,1681339841
280,kohlu,29.8962,69.252,20.46,35,0,0.51,PK,1681339842
281,hambantota,6.1241,81.1185,25.67,87,95,3.44,LK,1681339843
282,hyeres,43.1167,6.1167,13.74,64,0,3.6,FR,1681339843
283,keuruu,62.2667,24.7,6.1,94,97,4.62,FI,1681339844
284,saint-joseph,-21.3667,55.6167,23.59,85,16,0.38,RE,1681339845
285,zarubino,42.63,131.0922,5.42,47,49,1.1,RU,1681339846
286,zeya,53.75,127.2667,-1.31,74,100,1.78,RU,1681339847
287,moyale,3.5167,39.0584,19.82,77,100,1.71,KE,1681339848
288,pangody,65.85,74.4859,-27.78,99,54,3.79,RU,1681339849
289,nara,34.6851,135.8049,9.98,67,0,0.69,JP,1681339599
290,uzunovo,54.5386,38.6173,8.43,59,100,3.65,RU,1681339850
291,chumikan,54.7183,135.315,-4.41,88,100,9.15,RU,1681339851
292,rundu,-17.9333,19.7667,21.34,45,55,1.83,NA,1681339852
293,coruripe,-10.1256,-36.1756,25.05,78,34,3.3,BR,1681339808
294,saint george,37.1041,-113.5841,26.91,16,0,8.75,US,1681339853
295,baiyin,36.5583,104.2081,10.17,27,99,8.7,CN,1681339854
296,synya,65.3718,58.0387,-21.42,91,8,5.07,RU,1681339855
297,novosergiyevka,52.0934,53.6528,8.78,54,88,4.77,RU,1681339855
298,anshun,26.25,105.9333,15.88,96,66,3.39,CN,1681339856
299,daru,-9.0763,143.2092,25.83,88,88,4.49,PG,1681339857
300,sauce,-34.6469,-56.0628,17.46,68,100,5.43,UY,1681339857
301,orimattila,60.8049,25.7296,6.88,93,100,3.88,FI,1681339858
302,urdoma,61.7533,48.5442,-4.02,91,100,4.97,RU,1681339859
303,kuytun,54.3419,101.5036,-6.57,75,69,2.15,RU,1681339859
304,amapa,1.0,-52.0,23.2,97,82,1.06,BR,1681339820
305,lata,40.1629,-8.3327,12.67,77,24,1.49,PT,1681339861
306,shaowu,27.3409,117.4831,18.54,96,31,1.85,CN,1681339861
307,kabalo,-6.05,26.9167,21.4,97,100,1.33,CD,1681339862
308,saldanha,-33.0117,17.9442,15.03,79,100,1.97,ZA,1681339863
309,mezhdurechenskiy,59.6,65.9333,1.27,87,98,3.35,RU,1681339863
310,acatlan,20.15,-98.45,16.59,67,26,3.73,MX,1681339865
311,touros,-5.1989,-35.4608,25.68,89,90,6.56,BR,1681339866
312,ekhabi,53.5102,142.9671,-2.82,95,100,10.94,RU,1681339866
313,salalah,17.0151,54.0924,24.3,96,37,6.66,OM,1681339867
314,huarmey,-10.0681,-78.1522,24.96,79,95,4.81,PE,1681339868
315,sabha,27.0377,14.4283,16.57,15,0,4.58,LY,1681339869
316,cardston,49.2,-113.3019,6.16,26,16,2.57,CA,1681339869
317,tasiilaq,65.6145,-37.6368,2.09,94,98,2.51,GL,1681339870
318,willmar,45.1219,-95.0433,26.01,55,0,6.69,US,1681339871
319,beringovskiy,63.05,179.3167,-17.92,88,80,6.14,RU,1681339872
320,alyangula,-13.8483,136.4192,28.5,76,87,3.25,AU,1681339872
321,ormara,25.2088,64.6357,25.7,73,46,7.16,PK,1681339873
322,tingo maria,-9.2895,-76.0088,22.78,95,95,0.79,PE,1681339875
323,santa rosa,14.3122,121.1114,25.61,95,100,3.78,PH,1681339875
324,svetlyy,54.675,20.1347,4.03,93,51,3.3,RU,1681339876
325,starosubkhangulovo,53.1031,57.4423,0.76,91,87,0.97,RU,1681339877
326,dundee,56.5,-2.9667,5.33,98,100,2.06,GB,1681339878
327,sundargarh,22.1167,84.0333,25.25,19,0,0.5,IN,1681339878
328,odienne,9.51,-7.5692,28.12,33,60,1.8,CI,1681339879
329,benghazi,32.1167,20.0667,16.09,73,1,3.99,LY,1681339880
330,henties bay,-22.116,14.2845,15.11,82,0,1.87,NA,1681339881
331,shirokiy,49.758,129.523,-1.4,69,100,5.84,RU,1681339882
332,kavieng,-2.5744,150.7967,26.84,81,100,4.98,PG,1681339883
333,tiksi,71.6872,128.8694,-23.39,100,94,1.74,RU,1681339883
334,haldensleben,52.2891,11.4098,8.23,95,76,3.22,DE,1681339884
335,road town,18.4167,-64.6167,27.05,65,20,3.09,VG,1681339382
336,grand gaube,-20.0064,57.6608,24.65,88,45,3.07,MU,1681339885
337,awbari,26.5921,12.7805,16.93,16,0,4.32,LY,1681339886
338,iqaluit,63.7506,-68.5145,-7.15,73,75,3.09,CA,1681339887
339,tiznit,29.5833,-9.5,21.27,26,0,1.33,MA,1681339888
340,kieta,-6.2167,155.6333,27.01,77,98,0.46,PG,1681339888
341,sale,34.0389,-6.8166,17.08,72,75,0.0,MA,1681339889
342,mackay,-21.15,149.2,29.82,83,67,4.1,AU,1681339890
343,husavik,66.0449,-17.3389,1.93,79,100,3.01,IS,1681339891
344,vorozhba,51.1733,34.2192,9.25,71,100,5.89,UA,1681339892
345,mahibadhoo,3.7833,72.9667,28.67,72,17,2.95,MV,1681339892
346,gamba,-2.65,10.0,25.55,86,74,0.89,GA,1681339893
347,usogorsk,63.4106,48.6872,-11.79,79,80,4.3,RU,1681339894
348,kudahuvadhoo,2.6708,72.8944,28.14,75,18,3.19,MV,1681339895
349,yinchuan,38.4681,106.2731,13.44,29,79,0.68,CN,1681339895
350,sur,22.5667,59.5289,28.11,66,32,1.09,OM,1681339896
351,bilibino,68.0546,166.4372,-18.51,88,70,0.84,RU,1681339897
352,plettenberg bay,-34.0527,23.3716,15.29,54,100,1.42,ZA,1681339897
353,aleppo,36.25,37.5,10.06,84,100,6.72,SY,1681339898
354,savannakhet,16.566,104.751,29.18,58,87,2.63,LA,1681339899
355,buala,-8.145,159.5921,24.92,91,99,2.57,SB,1681339899
356,aiquile,-18.2041,-65.1807,16.63,74,60,2.34,BO,1681339900
357,kaeo,-35.1,173.7833,18.51,98,38,3.16,NZ,1681339901
358,anchorage,61.2181,-149.9003,5.23,63,100,4.63,US,1681339800
359,willowmore,-33.2926,23.4895,16.81,28,100,0.72,ZA,1681339902
360,enid,36.3956,-97.8784,27.09,28,0,10.8,US,1681339749
361,luau,-10.7073,22.2247,17.24,97,82,0.96,AO,1681339904
362,abu samrah,35.3029,37.1841,9.37,83,87,8.72,SY,1681339904
363,zhezkazgan,47.8043,67.7144,9.52,40,100,2.86,KZ,1681339905
364,fonseca,10.8861,-72.8487,26.58,78,100,1.98,CO,1681339906
365,talnakh,69.4865,88.3972,-25.1,98,100,2.48,RU,1681339906
